time_fs,pop_1,pop_2,pop_3,coherence
1.282565130260520903e+02,6.243451711573329010e-01,4.214997777044823118e-02,3.335048510722196657e-01,1.474198577136349275e+00
1.292585170340681202e+02,6.687644469102778100e-01,2.879477247230344955e-02,3.024407806174194691e-01,1.363649744573022238e+00
1.302605210420841502e+02,6.363293400594687288e-01,2.509795959945336774e-01,1.126910639459981905e-01,1.671185151112317913e+00
1.312625250501001801e+02,4.944213735297054990e-01,4.561037617288788981e-01,4.947486474141587348e-02,1.562992993200299274e+00
1.322645290581162101e+02,4.888480617534630701e-01,1.819789981539766954e-01,3.291729400925606508e-01,1.888309146927592774e+00
1.332665330661322400e+02,5.487267266093436291e-01,7.833665332175769602e-02,3.729366200688993827e-01,1.661247806351397793e+00
1.342685370741482700e+02,7.527120749981921488e-01,1.924697724657577907e-02,2.280409477552327868e-01,1.201839356898728672e+00
1.352705410821643000e+02,8.053285646921128915e-01,1.292553451701228262e-01,6.541609013776479575e-02,1.288224057752507257e+00
1.362725450901803583e+02,5.238599524191452916e-01,4.185792575614304956e-01,5.756079001942463608e-02,1.594280448352241253e+00
1.372745490981963883e+02,3.577173875330078023e-01,2.575338077346039367e-01,3.847488047323887050e-01,1.978571744149804745e+00
1.382765531062124182e+02,4.317087962639550303e-01,1.481379434700240971e-01,4.201532602660212889e-01,1.856521604168419604e+00
1.392785571142284482e+02,7.536324149724951127e-01,7.340315409778493116e-02,1.729644309297204974e-01,1.417838831142952172e+00
1.402805611222444782e+02,9.417199504940479970e-01,3.308386556207378038e-02,2.519618394387899626e-02,7.188398540395125602e-01
1.412825651302605081e+02,6.204129610438579023e-01,3.153015320475648364e-01,6.428550690857773309e-02,1.568730668259418870e+00
1.422845691382765381e+02,3.050605693960270481e-01,2.840227902201089005e-01,4.109166403838644954e-01,1.980072230342138528e+00
1.432865731462925680e+02,3.242267798517021182e-01,2.168857420218047449e-01,4.588874781264934422e-01,1.932763874554993544e+00
1.442885771543085980e+02,6.802592787182403233e-01,1.793187715602507504e-01,1.404219497215094259e-01,1.634025004716697760e+00
1.452905811623246279e+02,9.970277817383979002e-01,2.225995583713928248e-04,2.749618703231472734e-03,1.360774978021001003e-01
1.462925851703406579e+02,7.366957348233611480e-01,1.840657952278060006e-01,7.923846994883355921e-02,1.461233833349285138e+00
1.472945891783566879e+02,3.396131743737971775e-01,2.529019899180023900e-01,4.074848357082009320e-01,1.972184277916154471e+00
1.482965931863727178e+02,2.760029724386648953e-01,2.507373972684590058e-01,4.732596302928766541e-01,1.937917307246002974e+00
1.492985971943887478e+02,5.725705448958544608e-01,3.024184829782320394e-01,1.250109721259138884e-01,1.756193346713035064e+00
1.503006012024048061e+02,9.522604828850860237e-01,4.477197256002787146e-02,2.967544554886839079e-03,5.423340110837406858e-01
1.513026052104208361e+02,8.168500748434535108e-01,7.087185794672917760e-02,1.122780672098178945e-01,1.265309362284817052e+00
1.523046092184368661e+02,4.356010985691870507e-01,1.807582323081106113e-01,3.836406691227030041e-01,1.905473251093420917e+00
1.533066132264528960e+02,3.146171506601946888e-01,2.317112997963116372e-01,4.536715495434940904e-01,1.944048154332113310e+00
1.543086172344689260e+02,4.853471791220251852e-01,3.985092532422775946e-01,1.161435676356974839e-01,1.784703030402225110e+00
