Time_fs,Coherence_l1,QFI,Entropy_VN,Purity,Linear_Entropy,Bipartite_Entanglement,Multipartite_Entanglement,Pop_Site_1,Pop_Site_2,Pop_Site_3,Pop_Site_4,Pop_Site_5,Pop_Site_6,Pop_Site_7
5.60000000e+01,2.07965678e+00,2.77508515e+04,2.47335663e-02,9.92893882e-01,8.29047107e-03,2.34013175e-02,1.87498773e-02,5.34759612e-01,4.36817663e-01,1.07667785e-02,4.00423949e-03,5.74842524e-03,5.31292215e-03,2.59035895e-03
5.70000000e+01,2.09485046e+00,2.77828049e+04,2.51526836e-02,9.92753429e-01,8.45433292e-03,2.38351495e-02,1.90973291e-02,5.23631544e-01,4.47187399e-01,1.12516453e-02,4.11992173e-03,5.95165336e-03,5.27523679e-03,2.58259969e-03
5.80000000e+01,2.10667190e+00,2.76381241e+04,2.68329437e-02,9.92176877e-01,9.12697694e-03,2.55259364e-02,2.04394592e-02,5.13034220e-01,4.57102610e-01,1.17304281e-02,4.25540744e-03,6.13176858e-03,5.18631798e-03,2.55924744e-03
5.90000000e+01,2.11847036e+00,2.77238935e+04,2.77855068e-02,9.91845713e-01,9.51333448e-03,2.64753824e-02,2.12047039e-02,5.01195673e-01,4.68241365e-01,1.22267481e-02,4.36940003e-03,6.30440098e-03,5.11725578e-03,2.54515778e-03
6.00000000e+01,2.12592773e+00,2.76577754e+04,2.93908072e-02,9.91284569e-01,1.01680028e-02,2.80934992e-02,2.24837569e-02,4.90401956e-01,4.78478164e-01,1.26620590e-02,4.47082820e-03,6.45894679e-03,5.03576554e-03,2.49228092e-03
6.10000000e+01,2.13578466e+00,2.75290496e+04,3.06552360e-02,9.90835881e-01,1.06914722e-02,2.93429073e-02,2.34847983e-02,4.80113124e-01,4.88038399e-01,1.32159503e-02,4.57681203e-03,6.64564189e-03,4.93756867e-03,2.47250348e-03
6.20000000e+01,2.14132710e+00,2.75976873e+04,3.26581566e-02,9.90109589e-01,1.15388126e-02,3.13695045e-02,2.51033315e-02,4.67820202e-01,4.99756682e-01,1.37056408e-02,4.67992151e-03,6.80109042e-03,4.80335002e-03,2.43311345e-03
6.30000000e+01,2.14783307e+00,2.75065038e+04,3.46354518e-02,9.89387369e-01,1.23814032e-02,3.33442505e-02,2.66928875e-02,4.56854232e-01,5.10056178e-01,1.42088418e-02,4.77939493e-03,6.99844249e-03,4.71177693e-03,2.39113440e-03
6.40000000e+01,2.15269008e+00,2.75001402e+04,3.73461879e-02,9.88369844e-01,1.35685158e-02,3.60848600e-02,2.88806443e-02,4.46365131e-01,5.19883963e-01,1.47547358e-02,4.86744520e-03,7.18124679e-03,4.59644958e-03,2.35102893e-03
6.50000000e+01,2.15724338e+00,2.76011788e+04,3.77933992e-02,9.88215834e-01,1.37481941e-02,3.64580742e-02,2.91866515e-02,4.36289310e-01,5.29291542e-01,1.53812889e-02,4.94918650e-03,7.31171430e-03,4.47168750e-03,2.30527077e-03
6.60000000e+01,2.15900873e+00,2.76325315e+04,3.98796989e-02,9.87432231e-01,1.46623966e-02,3.85185799e-02,3.08244638e-02,4.26316574e-01,5.38630188e-01,1.60256730e-02,5.01384481e-03,7.46188957e-03,4.29537222e-03,2.25645860e-03
6.70000000e+01,2.15936977e+00,2.74882872e+04,4.19561009e-02,9.86617678e-01,1.56127085e-02,4.06310421e-02,3.25143040e-02,4.17138829e-01,5.47276442e-01,1.65494815e-02,5.06445131e-03,7.62603122e-03,4.12539067e-03,2.21937469e-03
6.80000000e+01,2.16090315e+00,2.74111204e+04,4.35769473e-02,9.85972621e-01,1.63652758e-02,4.23010771e-02,3.38498681e-02,4.09176767e-01,5.54638813e-01,1.71369806e-02,5.14980055e-03,7.73747141e-03,3.98331550e-03,2.17685195e-03
6.90000000e+01,2.15977943e+00,2.73270458e+04,4.52239185e-02,9.85335118e-01,1.71090285e-02,4.39462591e-02,3.51707995e-02,4.01075459e-01,5.62192614e-01,1.77486162e-02,5.20052896e-03,7.86443642e-03,3.79790091e-03,2.12044444e-03
7.00000000e+01,2.15968965e+00,2.74201007e+04,4.72598596e-02,9.84530238e-01,1.80480559e-02,4.59285134e-02,3.67824714e-02,3.93290476e-01,5.69308766e-01,1.84587209e-02,5.26956137e-03,7.96111047e-03,3.64683099e-03,2.06453496e-03
7.10000000e+01,2.15882745e+00,2.75468439e+04,4.88196498e-02,9.83929596e-01,1.87488045e-02,4.74217865e-02,3.79876980e-02,3.85619107e-01,5.76420370e-01,1.89612531e-02,5.35395912e-03,8.14822142e-03,3.48187419e-03,2.01521537e-03
7.20000000e+01,2.15590669e+00,2.76765439e+04,5.07194498e-02,9.83176217e-01,1.96277474e-02,4.93089067e-02,3.94930671e-02,3.78962052e-01,5.82573735e-01,1.95370472e-02,5.41110551e-03,8.24998816e-03,3.30423204e-03,1.96183945e-03
7.30000000e+01,2.15211397e+00,2.78382945e+04,5.30855150e-02,9.82212327e-01,2.07522857e-02,5.16956805e-02,4.13985204e-02,3.72331281e-01,5.88700593e-01,2.01428727e-02,5.45921957e-03,8.32233004e-03,3.12539403e-03,1.91830932e-03
7.40000000e+01,2.14782678e+00,2.79006841e+04,5.65988456e-02,9.80762649e-01,2.24435759e-02,5.52244394e-02,4.42192118e-02,3.67361315e-01,5.93159078e-01,2.07779199e-02,5.49284604e-03,8.38813070e-03,2.95815175e-03,1.86255806e-03
7.50000000e+01,2.13988286e+00,2.82306219e+04,5.79450299e-02,9.80197804e-01,2.31025620e-02,5.65162952e-02,4.52820551e-02,3.60608567e-01,5.99618131e-01,2.12513575e-02,5.49791730e-03,8.46261825e-03,2.76913681e-03,1.79227183e-03
7.60000000e+01,2.13212057e+00,2.84649115e+04,5.94436648e-02,9.79562622e-01,2.38436082e-02,5.79329613e-02,4.64532365e-02,3.56078697e-01,6.03894733e-01,2.17435952e-02,5.49454629e-03,8.47008911e-03,2.59353411e-03,1.72480543e-03
7.70000000e+01,2.12303514e+00,2.86499352e+04,6.09759310e-02,9.78908003e-01,2.46073293e-02,5.94353595e-02,4.76752797e-02,3.53079947e-01,6.06763691e-01,2.21928082e-02,5.45069683e-03,8.44555438e-03,2.40026949e-03,1.66703365e-03
7.80000000e+01,2.11703008e+00,2.88065074e+04,6.22635993e-02,9.78396166e-01,2.52044732e-02,6.05872844e-02,4.86294289e-02,3.51402608e-01,6.08136798e-01,2.27603789e-02,5.42289872e-03,8.43525165e-03,2.22853592e-03,1.61352956e-03
7.90000000e+01,2.11156656e+00,2.90091614e+04,6.37761412e-02,9.77758822e-01,2.59480415e-02,6.20280089e-02,4.98001532e-02,3.50120184e-01,6.09059665e-01,2.33681241e-02,5.41181740e-03,8.42285859e-03,2.05402568e-03,1.56332554e-03
8.00000000e+01,2.10571009e+00,2.92310107e+04,6.47554544e-02,9.77343637e-01,2.64324236e-02,6.29972914e-02,5.05642101e-02,3.49366819e-01,6.09525940e-01,2.39210386e-02,5.40422815e-03,8.38707664e-03,1.87938168e-03,1.51551592e-03
8.10000000e+01,2.09642831e+00,2.94584682e+04,6.70862830e-02,9.76352580e-01,2.75886571e-02,6.53026778e-02,5.24022666e-02,3.49379836e-01,6.09459871e-01,2.43164411e-02,5.35900058e-03,8.30492662e-03,1.70460796e-03,1.47531770e-03
8.20000000e+01,2.09212369e+00,2.95266609e+04,6.74533561e-02,9.76186203e-01,2.77827630e-02,6.56358217e-02,5.26736011e-02,3.52472783e-01,6.06167574e-01,2.48216171e-02,5.29205073e-03,8.26031902e-03,1.54843608e-03,1.43721969e-03
8.30000000e+01,2.08152153e+00,2.97634963e+04,6.92521673e-02,9.75411096e-01,2.86870544e-02,6.73375379e-02,5.40539493e-02,3.54337490e-01,6.04358686e-01,2.51992569e-02,5.19114475e-03,8.13429071e-03,1.38139239e-03,1.39773995e-03
8.40000000e+01,2.07139525e+00,3.01983923e+04,6.86236855e-02,9.75715105e-01,2.83323772e-02,6.66180431e-02,5.34727689e-02,3.55397636e-01,6.03447797e-01,2.54328457e-02,5.08349322e-03,8.04917248e-03,1.23149384e-03,1.35756159e-03
