time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,pop_site1_L9,pop_site1_L11
8.2000000000e+01,3.2199069438e-01,6.2809652783e-01,1.7948043968e-02,1.0867235212e-02,1.3377965695e-02,7.2118806030e-03,5.0765230576e-04,2.3171376291e+00,3.2199069438e-01,3.2199069438e-01
8.4000000000e+01,6.3660779025e-01,3.0265528188e-01,2.5484940537e-02,1.3108307718e-02,1.7821824401e-02,4.7732291503e-04,3.8445323054e-03,2.3837608804e+00,6.3660779025e-01,6.3660779025e-01
8.6000000000e+01,9.2648569102e-01,1.0185617538e-03,3.0337471770e-02,1.5850925273e-02,3.8773078479e-03,1.8532276330e-02,3.8977660081e-03,1.4191653217e+00,9.2648569102e-01,9.2648569102e-01
8.8000000000e+01,5.9499852403e-01,3.3767220499e-01,2.9257313754e-02,1.3312322057e-02,5.7065837625e-03,1.8471217770e-02,5.8183363519e-04,2.5135849910e+00,5.9499852403e-01,5.9499852403e-01
9.0000000000e+01,3.3620034579e-01,6.1086897951e-01,2.0937620266e-02,8.6478507980e-03,1.8020326609e-02,4.4751574446e-03,8.4971958166e-04,2.3466586663e+00,3.3620034579e-01,3.3620034579e-01
9.2000000000e+01,6.8385603605e-01,2.6370133133e-01,1.4992528244e-02,1.0509304056e-02,3.8655874629e-03,1.6443027372e-02,6.6321854899e-03,2.3755823267e+00,6.8385603605e-01,6.8385603605e-01
9.4000000000e+01,9.3147428240e-01,4.6595839625e-03,2.2673942827e-02,1.4025139924e-02,7.6434844997e-03,1.0902847993e-02,8.6207183915e-03,1.5188493564e+00,9.3147428240e-01,9.3147428240e-01
9.6000000000e+01,5.4926066678e-01,3.7245681819e-01,3.3730618829e-02,1.0544108869e-02,3.2809080929e-02,2.9163269635e-04,9.0707370067e-04,2.4822724983e+00,5.4926066678e-01,5.4926066678e-01
9.8000000000e+01,3.2479590239e-01,6.0666491314e-01,2.6226366098e-02,4.4077673587e-03,2.5777822877e-02,9.1562677313e-03,2.9709604069e-03,2.5640979710e+00,3.2479590239e-01,3.2479590239e-01

# METADATA: {"audit_mae_9_10": 0.0, "audit_mae_10_11": 0.0, "audit_mae_k1_k2": 0.0, "audit_mae_k2_k3": 0.0, "config_sha256": "b15fdd7d7b80", "provenance": "Hardened_JPCL_Resubmission_v1.3"}
